Player,Opponent,Stat Type,Prop Line,Predicted Value,Edge,EV,Optimal Bet
Bennedict Mathurin,NYK,pts_rebs_asts,24.5,26.06,1.5599999999999987,2.4903157894736814,7.529684259777151
T.J. McConnell,NYK,points,4.5,8.89,4.390000000000001,7.867315789473685,85.60842099811151
T.J. McConnell,NYK,pts_rebs_asts,9.5,16.24,6.739999999999998,12.33231578947368,91.70067777685229
T.J. McConnell,NYK,assists,3.5,4.7,1.2000000000000002,1.8063157894736843,86.70518978248704
T.J. McConnell,NYK,rebounds,1.5,2.65,1.15,1.7113157894736837,100.0
Obi Toppin,NYK,points,8.5,8.94,0.4399999999999995,0.36231578947368315,4.989793490818921
Mikal Bridges,NYK,points,13.5,17.63,4.129999999999999,7.373315789473682,43.92682314556853
Aaron Nesmith,NYK,points,5.5,9.49,3.99,7.1073157894736845,46.874998898613754
Aaron Nesmith,NYK,rebounds,2.5,3.48,0.98,1.3883157894736842,100.0
Cade Cunningham,DET,rebounds,5.5,6.06,0.5599999999999996,0.5903157894736833,46.2046128375226
Josh Giddey,DET,points,13.5,15.24,1.7400000000000002,2.832315789473684,40.446302164281626
Josh Giddey,DET,pts_rebs_asts,26.5,28.3,1.8000000000000007,2.9463157894736853,28.772377596791006
Isaiah Stewart,DET,points,5.5,6.84,1.3399999999999999,2.072315789473684,36.652076769580034
Isaiah Stewart,DET,pts_rebs_asts,11.5,14.15,2.6500000000000004,4.561315789473684,46.0549167168955
Isaiah Stewart,DET,rebounds,4.5,5.85,1.3499999999999996,2.091315789473683,72.73706112747186
Tre Jones,DET,points,4.5,8.36,3.8599999999999994,6.860315789473683,75.59733350578401
Tre Jones,DET,pts_rebs_asts,10.5,15.49,4.99,9.007315789473685,75.03759172819274
Tre Jones,DET,assists,3.5,4.27,0.7699999999999996,0.9893157894736834,81.052614515239
Tre Jones,DET,rebounds,2.5,2.86,0.3599999999999999,0.2103157894736839,60.60604019998644
Tim Hardaway Jr.,DET,points,9.5,10.32,0.8200000000000003,1.0843157894736848,11.74112222963568
Tim Hardaway Jr.,DET,pts_rebs_asts,13.5,14.72,1.2200000000000006,1.844315789473685,15.835928976221998
Kevin Huerter,DET,points,6.5,7.7,1.2000000000000002,1.8063157894736843,26.408449541881627
Kevin Huerter,DET,pts_rebs_asts,11.5,12.7,1.1999999999999993,1.8063157894736825,22.1402205852317
Kevin Huerter,DET,assists,1.5,2.16,0.6600000000000001,0.7803157894736844,100.0
Simone Fontecchio,DET,points,4.5,5.97,1.4699999999999998,2.3193157894736833,32.59423358783886
Simone Fontecchio,DET,pts_rebs_asts,8.5,9.94,1.4399999999999995,2.262315789473683,27.252080724750908
Simone Fontecchio,DET,rebounds,2.5,3.04,0.54,0.5523157894736842,87.66230920054896
Tobias Harris,DET,assists,1.5,2.05,0.5499999999999998,0.5713157894736839,100.0
Tobias Harris,DET,rebounds,4.5,5.33,0.8300000000000001,1.103315789473684,60.14491881957698
Ausar Thompson,DET,assists,2.5,2.78,0.2799999999999998,0.058315789473683766,52.63155916106795
Jalen Duren,DET,points,12.5,13.35,0.8499999999999996,1.1413157894736834,20.571150988811656
Jalen Duren,DET,assists,2.5,2.9,0.3999999999999999,0.28631578947368397,44.84303927286114
Matas Buzelis,DET,points,12.5,12.91,0.41000000000000014,0.30531578947368443,9.042787426431964
Malik Beasley,DET,points,15.5,17.38,1.879999999999999,3.098315789473682,11.625030773868028
Malik Beasley,DET,pts_rebs_asts,19.5,21.49,1.9899999999999984,3.307315789473681,11.656513452946179
Jalen Smith,DET,points,8.5,10.31,1.8100000000000005,2.965315789473685,38.34745600222645
Jalen Smith,DET,pts_rebs_asts,15.5,17.83,2.3299999999999983,3.953315789473681,36.39487546407759
Jalen Smith,DET,rebounds,5.5,6.43,0.9299999999999997,1.2933157894736835,64.04957795460358
Devin Booker,PHX,pts_rebs_asts,38.5,39.24,0.740000000000002,0.9323157894736879,3.5234739213077524
Devin Booker,PHX,rebounds,3.5,4.64,1.1399999999999997,1.6923157894736836,100.0
Zach Edey,PHX,assists,0.5,0.92,0.42000000000000004,0.3243157894736842,100.0
Grayson Allen,PHX,points,11.5,12.35,0.8499999999999996,1.1413157894736834,11.66941209035112
Grayson Allen,PHX,pts_rebs_asts,17.5,19.24,1.7399999999999984,2.832315789473681,19.273371305419317
Grayson Allen,PHX,rebounds,3.5,4.04,0.54,0.5523157894736842,67.83917893487967
Grayson Allen,PHX,assists,2.5,2.85,0.3500000000000001,0.19131578947368433,36.91982343463641
Luke Kennard,PHX,points,6.5,9.16,2.66,4.580315789473684,33.91991752308295
Luke Kennard,PHX,pts_rebs_asts,11.5,15.7,4.199999999999999,7.506315789473683,44.737962404389386
Luke Kennard,PHX,rebounds,2.5,3.32,0.8199999999999998,1.084315789473684,96.24410886288523
Luke Kennard,PHX,assists,2.5,3.22,0.7200000000000002,0.8943157894736845,100.0
Santi Aldama,PHX,points,9.5,10.41,0.9100000000000001,1.2553157894736842,10.598648716546736
Ja Morant,PHX,points,21.5,22.12,0.620000000000001,0.7043157894736861,6.211179999776007
Ja Morant,PHX,pts_rebs_asts,32.5,33.65,1.1499999999999986,1.7113157894736815,9.521443790007543
Desmond Bane,PHX,points,19.5,21.27,1.7699999999999996,2.889315789473683,17.05859643294918
Desmond Bane,PHX,pts_rebs_asts,30.0,32.76,2.759999999999998,4.77031578947368,20.98859283667538
Desmond Bane,PHX,rebounds,4.5,5.95,1.4500000000000002,2.2813157894736844,100.0
Jaren Jackson Jr.,PHX,points,22.5,24.32,1.8200000000000003,2.9843157894736843,9.226401609790111
Jaren Jackson Jr.,PHX,pts_rebs_asts,30.5,33.31,2.8100000000000023,4.865315789473688,13.021315912684756
Ryan Dunn,PHX,points,5.5,6.34,0.8399999999999999,1.1223157894736837,26.200871727955594
Ryan Dunn,PHX,pts_rebs_asts,9.5,10.65,1.1500000000000004,1.7113157894736846,27.617673985702506
Mason Plumlee,PHX,rebounds,5.5,6.29,0.79,1.027315789473684,53.66847096895775
Mason Plumlee,PHX,assists,1.5,2.06,0.56,0.5903157894736842,100.0
Brandon Clarke,PHX,points,7.5,9.57,2.0700000000000003,3.4593157894736843,38.248335615360844
Brandon Clarke,PHX,pts_rebs_asts,12.5,16.51,4.010000000000002,7.1453157894736865,63.1496043102487
Brandon Clarke,PHX,rebounds,4.5,5.78,1.2800000000000002,1.9583157894736845,100.0
Brandon Clarke,PHX,assists,0.5,1.16,0.6599999999999999,0.780315789473684,100.0
Jaylen Wells,PHX,points,6.5,8.31,1.8100000000000005,2.965315789473685,100.0
Jaylen Wells,PHX,pts_rebs_asts,10.5,14.51,4.01,7.145315789473683,100.0
Jaylen Wells,PHX,assists,1.5,1.76,0.26,0.020315789473684176,100.0
Kyle Kuzma,MIN,points,17.5,17.91,0.41000000000000014,0.30531578947368443,3.6392685311686765
Brook Lopez,MIN,points,12.5,13.31,0.8100000000000005,1.065315789473685,44.55445054406488
Mike Conley,MIN,points,9.5,10.01,0.5099999999999998,0.4953157894736837,8.972554223344323
Taurean Prince,MIN,points,7.5,9.16,1.6600000000000001,2.680315789473684,37.45487195600759
Damian Lillard,MIN,points,26.5,28.21,1.7100000000000009,2.7753157894736855,12.238763065577402
Damian Lillard,MIN,pts_rebs_asts,40.5,41.41,0.9099999999999966,1.2553157894736775,5.527882328661353
Rudy Gobert,MIN,points,11.5,12.8,1.3000000000000007,1.9963157894736852,30.820292516818768
Rudy Gobert,MIN,pts_rebs_asts,24.5,25.71,1.2100000000000009,1.8253157894736858,16.77294103762294
