Player,Stat Type,Prop Team,Home vs. Away,Expected Value,Prop Line,Probability Over,Probability Under,Max Probability
Jalen Brunson,points,CHI,0,26.41699238513194,28.5,0.2971790005786097,0.7028209994213903,0.7028209994213903
Jalen Brunson,assists,CHI,0,7.530461640799324,8.5,0.29858292909458695,0.701417070905413,0.701417070905413
GG Jackson,assists,IND,1,1.3220115176360514,0.5,0.6994951089285912,0.3005048910714088,0.6994951089285912
Kawhi Leonard,assists,MIL,1,3.3826543104979736,2.5,0.6990117839976381,0.3009882160023619,0.6990117839976381
Bennedict Mathurin,assists,MEM,0,2.4127844207162,1.5,0.6979539120597086,0.3020460879402914,0.6979539120597086
GG Jackson,rebounds,IND,1,4.432346874757002,3.5,0.6958037695433252,0.30419623045667477,0.6958037695433252
Obi Toppin,points,MEM,0,12.322821780333388,9.5,0.6895056045568559,0.3104943954431441,0.6895056045568559
T.J. McConnell,rebounds,MEM,0,2.3370349167244653,1.5,0.688814364228531,0.31118563577146896,0.688814364228531
Tyrese Martin,points,CLE,0,8.293327283492154,6.5,0.6823282951810896,0.31767170481891044,0.6823282951810896
Jalen Wilson,points,CLE,0,10.03919224321317,8.5,0.6814050084246623,0.3185949915753376,0.6814050084246623
Harrison Barnes,points,PHX,0,10.58344746369008,12.5,0.3218046718007047,0.6781953281992953,0.6781953281992953
Stephon Castle,assists,PHX,0,3.3197878465731345,2.5,0.6780982064871606,0.3219017935128394,0.6780982064871606
Julian Champagnie,assists,PHX,0,1.12283181709857,0.5,0.6754145664035013,0.3245854335964987,0.6754145664035013
Paul George,rebounds,BOS,0,5.302629682438499,4.5,0.6746830886608786,0.3253169113391215,0.6746830886608786
Amir Coffey,assists,MIL,1,1.1051419703904866,0.5,0.6733166773334265,0.3266833226665735,0.6733166773334265
Kawhi Leonard,points,MIL,1,21.272742444193046,19.5,0.6726450628811217,0.3273549371188783,0.6726450628811217
Wendell Carter Jr.,rebounds,ATL,1,7.415544648236809,6.5,0.6694049065368723,0.3305950934631277,0.6694049065368723
Ayo Dosunmu,rebounds,NYK,1,3.3417975816248804,2.5,0.6690600107093254,0.33093998929067464,0.6690600107093254
Josh Giddey,points,NYK,1,12.038933557205533,13.5,0.33118766811587186,0.6688123318841281,0.6688123318841281
Pascal Siakam,points,MEM,0,20.25313206032265,21.5,0.33137061024619285,0.6686293897538071,0.6686293897538071
Jonathan Isaac,points,ATL,1,6.477342506991546,5.5,0.6665641639126059,0.33343583608739413,0.6665641639126059
Tyrese Martin,assists,CLE,0,2.1882957211902077,1.5,0.6650131682191981,0.3349868317808019,0.6650131682191981
Michael Porter Jr.,points,CHA,0,19.583142093472524,17.5,0.6639885192519229,0.3360114807480771,0.6639885192519229
Tyrese Martin,rebounds,CLE,0,4.31503812685865,3.5,0.6636181779362008,0.3363818220637992,0.6636181779362008
Guerschon Yabusele,rebounds,BOS,0,5.489916711468921,4.5,0.6635104315035704,0.33648956849642964,0.6635104315035704
Tyus Jones,points,SAS,1,10.912643233301724,9.5,0.6631706787125542,0.3368293212874458,0.6631706787125542
Georges Niang,points,ORL,0,11.134917656511833,9.5,0.661909200541117,0.338090799458883,0.661909200541117
Norman Powell,assists,MIL,1,2.140892423639117,1.5,0.6613710102451372,0.3386289897548628,0.6613710102451372
Lonzo Ball,points,NYK,1,9.1083642593798,7.5,0.6582643492073772,0.34173565079262286,0.6582643492073772
Nick Smith Jr.,rebounds,DEN,1,1.8322494956196398,2.5,0.3437288767693789,0.6562711232306211,0.6562711232306211
Day'Ron Sharpe,points,CLE,0,7.4300107205511905,8.5,0.3446565417743712,0.6553434582256288,0.6553434582256288
Grayson Allen,points,SAS,1,10.730841018248114,9.5,0.6542308763268613,0.3457691236731387,0.6542308763268613
Jonathan Isaac,rebounds,ATL,1,5.210252550337195,4.5,0.6533018539353803,0.3466981460646197,0.6533018539353803
Grayson Allen,assists,SAS,1,2.263427413935941,1.5,0.6532680940303843,0.34673190596961573,0.6532680940303843
