SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300802,2024-02-22T00:00:00,GSW vs. LAL,W,31.791666666666668,12,24,0.5,6,13,0.462,2,2,1.0,0,1,1,8,1,3,0,2,1,3,32,25,53.2,0,0,53.0,1,1,1,1,46,9,9,21,18,23,23,50,50,1,29,63,68,6,61,2,24,64,15,33,18,4,8,8,1,12,1,31:48
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300576,2024-02-15T00:00:00,GSW @ UTA,W,35.46,4,14,0.286,2,8,0.25,6,8,0.75,1,1,2,10,4,1,0,0,2,5,16,-2,32.4,1,0,32.0,1,1,1,1,11,68,64,66,65,61,63,16,9,60,7,63,57,2,9,11,24,1,41,14,63,45,60,1,1,60,1,35:28
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300789,2024-02-14T00:00:00,GSW vs. LAC,L,34.665,15,31,0.484,9,19,0.474,2,2,1.0,1,3,4,5,4,0,0,3,3,1,41,-6,49.3,0,0,59.0,1,44,44,44,22,3,3,30,3,3,20,50,50,1,7,43,36,35,9,40,24,71,62,67,5,57,15,8,1,6,1,34:40
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300769,2024-02-12T00:00:00,GSW @ UTA,W,32.09,9,19,0.474,7,16,0.438,0,0,0.0,0,6,6,10,1,3,1,0,1,2,25,30,58.2,1,0,56.0,1,1,1,1,44,27,38,32,9,7,31,69,69,69,29,11,14,2,61,2,5,1,15,51,42,1,5,1,1,9,1,32:05
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300757,2024-02-10T00:00:00,GSW vs. PHX,W,33.85,10,22,0.455,9,16,0.563,1,2,0.5,1,8,9,6,3,1,0,1,0,2,30,10,49.8,0,0,56.0,1,1,1,1,31,24,20,36,3,7,12,58,50,67,7,2,4,20,25,11,24,40,1,51,24,21,13,8,1,9,1,33:51
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300733,2024-02-08T00:00:00,GSW @ IND,W,30.1,15,22,0.682,11,16,0.688,1,2,0.5,0,2,2,2,2,0,1,0,2,2,42,13,48.4,0,0,59.0,1,1,1,1,63,3,20,4,1,7,4,58,50,67,29,56,57,64,40,40,5,1,41,51,3,12,17,8,1,6,1,30:06
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300727,2024-02-07T00:00:00,GSW @ PHI,W,24.6,2,7,0.286,1,4,0.25,4,4,1.0,0,3,3,1,4,0,1,1,2,3,9,13,13.1,0,0,16.0,1,1,1,1,72,71,74,66,69,74,63,31,33,1,29,43,47,68,9,40,5,40,41,33,71,12,73,8,1,72,1,24:36
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300717,2024-02-05T00:00:00,GSW @ BKN,W,34.28333333333333,12,24,0.5,4,11,0.364,1,1,1.0,1,4,5,3,4,0,0,1,2,3,29,6,35.5,0,0,41.0,1,1,1,1,28,9,9,21,40,39,45,58,60,1,7,30,24,56,9,40,24,40,41,33,29,30,50,8,1,46,1,34:17
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300699,2024-02-03T00:00:00,GSW @ ATL,L,41.35,22,38,0.579,10,23,0.435,6,6,1.0,1,5,6,4,2,0,1,0,1,8,60,-1,74.2,0,0,82.0,1,44,44,44,2,1,1,11,2,1,32,16,18,1,7,18,14,45,40,40,5,1,15,1,1,42,1,8,1,1,1,41:21
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300693,2024-02-02T00:00:00,GSW @ MEM,W,32.27,6,16,0.375,4,9,0.444,4,4,1.0,0,6,6,6,3,1,0,2,1,3,20,12,36.2,0,0,38.0,1,1,1,1,41,56,54,50,40,53,27,31,33,1,29,11,14,20,25,11,24,64,15,33,56,17,47,8,1,53,1,32:16
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300673,2024-01-30T00:00:00,GSW vs. PHI,W,35.21666666666667,12,17,0.706,8,13,0.615,5,5,1.0,1,7,8,7,5,0,1,0,2,5,37,26,55.1,0,0,62.0,1,1,1,1,14,9,51,3,6,23,7,22,26,1,7,4,5,14,5,40,5,1,41,14,8,3,6,8,1,4,1,35:13
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300650,2024-01-27T00:00:00,GSW vs. LAL,L,43.401666666666664,17,35,0.486,9,21,0.429,3,3,1.0,0,3,3,7,4,1,0,1,4,5,46,-2,59.1,0,0,67.0,1,44,44,44,1,2,2,29,3,2,33,40,44,1,29,43,47,14,9,11,24,40,68,14,2,45,3,8,1,2,1,43:24
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300632,2024-01-25T00:00:00,GSW vs. SAC,L,36.333333333333336,13,26,0.5,6,14,0.429,1,1,1.0,1,5,6,2,2,1,0,1,0,2,33,-8,44.2,0,0,49.0,1,44,44,44,9,8,4,21,18,17,33,58,60,1,7,18,14,64,40,11,24,40,1,51,14,61,28,8,1,22,1,36:20
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300626,2024-01-24T00:00:00,GSW vs. ATL,W,31.3,7,16,0.438,5,8,0.625,6,6,1.0,0,3,3,8,1,0,0,0,3,3,25,9,39.6,0,0,41.0,1,1,1,1,52,49,54,39,30,61,6,16,18,1,29,43,47,6,61,40,24,1,62,33,42,24,39,8,1,46,1,31:18
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300560,2024-01-15T00:00:00,GSW @ MEM,L,32.733333333333334,11,20,0.55,3,9,0.333,1,1,1.0,1,3,4,8,5,2,1,1,4,3,26,-2,46.8,0,0,47.0,1,44,44,44,34,17,31,15,54,53,48,58,60,1,7,43,36,6,5,5,5,40,68,33,39,45,21,8,1,31,1,32:44
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300536,2024-01-12T00:00:00,GSW @ CHI,W,35.175,8,24,0.333,6,15,0.4,5,5,1.0,0,5,5,9,1,1,0,1,1,4,27,5,48.5,0,0,49.0,1,1,1,1,15,38,9,59,18,12,38,22,26,1,29,18,24,5,61,11,24,40,15,26,35,32,16,8,1,22,1,35:11
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300525,2024-01-10T00:00:00,GSW vs. NOP,L,25.183333333333334,4,13,0.308,3,8,0.375,4,4,1.0,0,1,1,6,3,1,0,1,0,5,15,-4,25.2,0,0,27.0,1,44,44,44,71,68,69,64,54,61,43,31,33,1,29,63,68,20,25,11,24,40,1,14,65,51,65,8,1,65,1,25:11
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300504,2024-01-07T00:00:00,GSW vs. TOR,L,29.85,2,14,0.143,0,9,0.0,5,5,1.0,0,1,1,6,2,0,0,0,3,5,9,-17,17.2,0,0,16.0,1,44,44,44,65,71,64,74,72,53,72,22,26,1,29,63,68,20,40,40,24,1,62,14,71,70,72,8,1,72,1,29:51
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300490,2024-01-05T00:00:00,GSW vs. DET,W,30.926666666666666,7,19,0.368,4,12,0.333,8,9,0.889,0,6,6,4,4,1,1,1,0,7,26,0,41.2,0,0,44.0,1,1,1,1,56,49,38,54,40,34,48,6,5,52,29,11,14,45,9,11,5,40,1,4,39,40,38,8,1,36,1,30:56
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300478,2024-01-04T00:00:00,GSW vs. DEN,L,34.583333333333336,11,23,0.478,5,12,0.417,3,3,1.0,0,4,4,6,2,1,1,0,1,2,30,-1,47.8,0,0,49.0,1,44,44,44,23,17,16,31,30,34,36,40,44,1,29,30,36,20,40,11,5,1,15,51,24,42,20,8,1,22,1,34:35
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300463,2024-01-02T00:00:00,GSW vs. ORL,W,35.233333333333334,12,20,0.6,4,9,0.444,8,11,0.727,1,1,2,6,2,4,1,0,4,6,36,12,60.4,0,0,58.0,1,1,1,1,13,9,31,9,40,53,27,6,3,65,7,63,57,20,40,1,5,1,68,8,10,17,2,8,1,8,1,35:14
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300444,2023-12-30T00:00:00,GSW vs. DAL,L,34.5,9,25,0.36,6,15,0.4,1,1,1.0,0,2,2,7,3,1,0,0,3,3,25,-6,37.9,0,0,42.0,1,44,44,44,24,27,7,56,18,12,38,58,60,1,29,56,57,14,25,11,24,1,62,33,42,57,44,8,1,44,1,34:30
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300426,2023-12-28T00:00:00,GSW vs. MIA,L,31.711666666666666,3,15,0.2,2,8,0.25,5,6,0.833,0,4,4,5,1,2,1,0,1,5,13,-14,33.3,0,0,30.0,1,44,44,44,47,70,58,71,65,61,63,22,18,54,29,30,36,35,61,5,5,1,15,14,69,68,57,8,1,62,1,31:43
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300402,2023-12-25T00:00:00,GSW @ DEN,L,34.335,7,21,0.333,3,13,0.231,1,1,1.0,1,1,2,4,3,1,1,0,4,2,18,-26,29.4,0,0,31.0,1,44,44,44,27,49,26,59,54,23,68,58,60,1,7,63,57,45,25,11,5,1,68,51,58,73,61,8,1,61,1,34:20
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300399,2023-12-23T00:00:00,GSW vs. POR,W,30.3,11,18,0.611,2,7,0.286,3,3,1.0,0,3,3,2,1,0,0,0,1,3,27,4,32.6,0,0,34.0,1,1,1,1,61,17,42,8,65,69,58,40,44,1,29,43,47,64,61,40,24,1,15,33,35,34,59,8,1,56,1,30:18
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300386,2023-12-22T00:00:00,GSW vs. WAS,W,26.9,9,18,0.5,8,13,0.615,4,5,0.8,0,4,4,7,2,0,1,0,0,2,30,-1,46.3,0,0,51.0,1,1,1,1,70,27,42,21,6,23,7,31,26,57,29,30,36,14,40,40,5,1,1,51,24,42,23,8,1,17,1,26:54
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300362,2023-12-19T00:00:00,GSW vs. BOS,W,38.3,11,21,0.524,6,11,0.545,5,5,1.0,0,3,3,6,4,0,0,2,5,4,33,8,41.6,0,0,48.0,1,1,1,1,5,17,26,18,18,39,14,22,26,1,29,43,47,20,9,40,24,64,72,26,14,26,35,8,1,27,1,38:18
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300348,2023-12-17T00:00:00,GSW @ POR,W,31.23,2,12,0.167,0,8,0.0,3,4,0.75,0,2,2,8,4,1,1,0,1,2,7,14,23.4,0,0,21.0,1,1,1,1,54,71,71,72,72,61,72,40,33,60,29,56,57,6,9,11,5,1,15,51,73,11,69,8,1,71,1,31:14
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300339,2023-12-16T00:00:00,GSW vs. BKN,W,35.03333333333333,14,22,0.636,6,8,0.75,3,3,1.0,0,3,3,1,3,0,3,0,1,2,37,7,48.1,0,0,53.0,1,1,1,1,16,6,20,7,18,61,2,40,44,1,29,43,47,68,25,40,1,1,15,51,8,27,18,8,1,12,1,35:02
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300325,2023-12-14T00:00:00,GSW @ LAC,L,34.03333333333333,5,17,0.294,3,13,0.231,4,4,1.0,0,4,4,4,1,0,0,2,3,2,17,-3,26.8,0,0,28.0,1,44,44,44,29,63,51,65,54,23,68,31,33,1,29,30,36,45,61,40,24,64,62,51,60,49,63,8,1,63,1,34:02
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300308,2023-12-12T00:00:00,GSW @ PHX,L,32.075,8,24,0.333,4,15,0.267,4,4,1.0,0,5,5,4,1,3,0,3,2,4,24,-15,44.0,0,0,43.0,1,44,44,44,45,38,9,59,40,12,62,31,33,1,29,18,24,45,61,2,24,71,41,26,48,69,30,8,1,38,1,32:05
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022301222,2023-12-08T00:00:00,GSW @ OKC,L,40.361666666666665,10,20,0.5,6,12,0.5,8,8,1.0,0,6,6,3,3,1,0,1,0,5,34,-5,45.7,0,0,51.0,1,44,44,44,3,24,31,21,18,34,17,6,9,1,29,11,14,56,25,11,24,40,1,14,12,55,24,8,1,17,1,40:22
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022301214,2023-12-06T00:00:00,GSW vs. POR,W,34.48,8,18,0.444,5,13,0.385,10,11,0.909,0,5,5,1,4,0,0,0,2,8,31,4,34.5,0,0,42.0,1,1,1,1,25,38,42,37,30,23,41,3,3,51,29,18,24,68,9,40,24,1,41,1,20,34,55,8,1,44,1,34:29
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300280,2023-12-02T00:00:00,GSW @ LAC,L,36.60666666666667,7,18,0.389,4,9,0.444,4,4,1.0,1,3,4,11,2,0,0,1,0,3,22,2,41.3,1,0,41.0,1,44,44,44,7,49,42,48,40,53,27,31,33,1,7,43,36,1,40,40,24,40,1,33,53,38,36,1,1,46,1,36:36
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300273,2023-11-30T00:00:00,GSW vs. LAC,W,33.0,8,15,0.533,3,9,0.333,7,9,0.778,0,7,7,8,2,1,1,0,2,5,26,-4,50.4,0,0,48.0,1,1,1,1,33,38,58,17,54,53,48,11,5,59,29,4,8,6,40,11,5,1,41,14,39,51,12,8,1,27,1,33:00
