Player,Current Team,Opponent Team,Stat,Line,Best Bet,Probability,Expected Value,Weighted Mean,ARIMA Forecast,Date Range
Stephen Curry,GSW,HOU,rebounds,3.5,under,0.9999685733464011,1.71,1.6530109583630708,1.8021654912641825,2024-12-19 to 2025-02-08
John Collins,UTA,LAC,assists,1.5,under,0.9999653525877502,0.28,0.563443115252407,-0.1404576071363839,2024-11-16 to 2025-02-07
Klay Thompson,DAL,MIA,assists,2.5,under,0.9998972190313812,1.02,0.931995972446884,1.1615900555757726,2024-12-21 to 2025-02-08
Mike Conley,MIN,OKC,rebounds,2.5,under,0.9991548946417568,1.26,1.370702540739006,1.0958060912025926,2024-12-21 to 2025-02-06
Walker Kessler,UTA,LAC,assists,1.5,under,0.9988642443877492,0.64,0.766293534794237,0.4426779515793888,2024-11-26 to 2025-02-03
Trey Lyles,SAC,NOP,points,3.5,under,0.9962693938380177,1.66,1.473862761681907,1.939913758444252,2024-12-26 to 2025-02-08
Naz Reid,MIN,OKC,assists,2.5,under,0.9887198014090759,1.47,1.495884783677918,1.430210867114701,2024-12-29 to 2025-02-08
Olivier-Maxence Prosper,DAL,MIA,assists,2.5,under,0.9874467965509979,0.87,0.8323567056990911,0.9162494152974074,2024-12-15 to 2025-02-06
Rudy Gobert,MIN,OKC,assists,1.5,under,0.9308787196419427,0.83,0.9228102886427824,0.7017207193884409,2024-12-25 to 2025-02-08
Keon Ellis,SAC,NOP,assists,1.5,under,0.9308193706563557,0.87,0.7763292984654563,1.0085023352048983,2024-12-26 to 2025-02-08
Jake LaRavia,SAC,NOP,rebounds,2.5,under,0.9187671109914748,1.45,1.211958048016823,1.815697606658355,2024-12-13 to 2025-02-08
Trey Lyles,SAC,NOP,pts_rebs_asts,5.5,under,0.9178937718666502,3.51,3.04,4.21,2024-12-26 to 2025-02-08
Jake LaRavia,SAC,NOP,pts_rebs_asts,6.5,under,0.8595115266164548,3.9,2.91,5.39,2024-12-13 to 2025-02-08
Jake LaRavia,SAC,NOP,points,2.5,under,0.756521810821219,1.51,1.1908589189776024,1.9891653863950116,2024-12-13 to 2025-02-08
Trey Lyles,SAC,NOP,assists,0.5,over,0.7278551815193022,0.61,0.4571972501291866,0.8321055717386372,2024-12-26 to 2025-02-08
Lauri Markkanen,UTA,LAC,assists,0.5,over,0.5803448808987766,0.51,0.4756250886048513,0.5702436133958774,2024-12-03 to 2025-02-07
Jake LaRavia,SAC,NOP,assists,1.5,over,0.5675399203075,0.94,0.5051166713628089,1.5900160858454186,2024-12-13 to 2025-02-08
Trey Lyles,SAC,NOP,rebounds,1.5,under,0.552891879176724,1.24,1.103983233526212,1.437631028829622,2024-12-26 to 2025-02-08
