SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400410,2024-12-26,IND vs. OKC,L,35.28333333333333,2,6,0.333,0,2,0.0,0,0,0.0,1,1,2,8,1,0,0,1,1,0,4,-13,17.4,0,0,14.0,1,33,33,33,20,48,52,42,49,52,49,39,39,39,6,42,36,26,29,40,26,40,13,41,50,42,52,17,1,51,1,35:17
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400403,2024-12-23,IND @ GSW,W,38.365,6,11,0.545,2,7,0.286,2,2,1.0,0,6,6,12,1,2,0,0,0,4,16,28,46.2,1,0,40.0,1,1,1,1,7,26,39,11,31,33,35,21,23,1,26,1,6,6,29,9,26,1,1,7,33,1,17,1,1,21,1,38:22
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400389,2024-12-22,IND @ SAC,W,30.79,5,10,0.5,4,9,0.444,0,0,0.0,1,4,5,8,1,0,0,0,0,0,14,15,31.0,0,0,31.0,1,1,1,1,43,34,44,19,9,12,16,39,39,39,6,9,9,26,29,40,26,1,1,41,39,9,39,17,1,39,1,30:47
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400369,2024-12-19,IND @ PHX,W,37.15,4,9,0.444,4,9,0.444,1,2,0.5,1,3,4,12,2,0,1,0,1,0,13,14,36.8,1,0,35.0,1,1,1,1,11,41,48,26,9,12,16,29,23,34,6,22,16,6,14,40,10,1,13,41,41,14,33,1,1,30,1,37:09
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022401216,2024-12-15,IND vs. NOP,W,34.693333333333335,6,14,0.429,4,8,0.5,5,6,0.833,0,4,4,10,4,3,1,0,1,3,21,9,48.8,1,0,47.0,1,1,1,1,26,26,25,29,9,25,6,12,11,27,26,9,16,14,3,3,10,1,13,15,18,21,11,1,1,11,1,34:42
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022401209,2024-12-13,IND @ PHI,W,34.525,12,23,0.522,7,15,0.467,1,1,1.0,1,2,3,11,2,1,1,0,1,2,32,21,56.1,1,0,57.0,1,1,1,1,28,2,1,17,2,2,13,29,32,1,6,30,26,11,14,23,10,1,13,25,4,4,5,1,1,4,1,34:32
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400349,2024-12-08,IND vs. CHA,L,36.85666666666667,4,10,0.4,0,4,0.0,1,2,0.5,0,2,2,8,2,0,3,0,1,3,9,-3,30.4,0,0,25.0,1,33,33,33,14,41,44,34,49,48,49,29,23,34,26,30,36,26,14,40,1,1,13,15,45,32,40,17,1,44,1,36:51
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400336,2024-12-06,IND @ CHI,W,38.16166666666667,9,17,0.529,5,9,0.556,0,0,0.0,0,4,4,8,2,2,0,1,1,1,23,5,43.8,0,0,44.0,1,1,1,1,8,10,13,15,5,12,5,39,39,39,26,9,16,26,14,9,26,40,13,36,14,27,21,17,1,15,1,38:10
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400320,2024-12-04,IND @ BKN,L,36.958333333333336,5,13,0.385,1,7,0.143,6,7,0.857,0,3,3,8,3,2,2,1,1,4,17,2,41.6,0,0,37.0,1,33,33,33,12,34,30,38,42,33,46,7,5,24,26,22,26,26,6,9,2,40,13,7,28,31,28,17,1,28,1,36:58
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400054,2024-12-03,IND @ TOR,L,39.9,10,16,0.625,4,9,0.444,6,7,0.857,1,3,4,6,3,1,0,0,2,4,30,-3,43.8,0,0,46.0,1,33,33,33,1,7,17,4,9,12,16,7,5,24,6,22,16,44,6,23,26,1,35,7,6,32,21,17,1,13,1,39:54
