Player,Stat Type,Prop Line,EV,Probability_Hit,Bet Direction
josh green,Pts + Rebs + Asts,11.5,1.6916355821253388,0.8972118607084463,Under
josh green,1Q Points,2.5,1.6830753567977348,0.8057283353746951,Over
josh green,Rebounds,2.5,0.7417814971712178,0.5729544398589532,Over
cole anthony,Points,12.5,0.6485758047912827,0.5495252682637609,Under
cole anthony,Pts + Rebs + Asts,20.5,1.8736253462890913,0.957875115429697,Under
cole anthony,Assists,3.5,0.5390442843006915,0.5130147614335638,Under
cole anthony,1Q Points,3.5,1.6614654829752928,0.8613156902832663,Over
gary harris,Points,2.5,1.4900827594772221,0.8300275864924074,Over
gary harris,Pts + Rebs + Asts,4.5,0.6508573629130949,0.5502857876376983,Under
gary harris,Rebounds,1.5,0.879204975601414,0.6023092870517353,Over
gary harris,Points + Rebounds,3.5,1.3448732401333496,0.7816244133777832,Over
goga bitadze,Points,6.5,0.5396301758588724,0.5015082006054958,Under
goga bitadze,Pts + Rebs + Asts,18.5,1.9374676025791078,0.9791558675263693,Under
goga bitadze,Assists,1.5,0.515717223959882,0.505239074653294,Under
goga bitadze,Rebounds,9.5,1.4940651301095327,0.8313550433698442,Under
tristan da silva,Points,5.5,1.0596745458290338,0.6865581819430112,Over
tristan da silva,Pts + Rebs + Asts,9.5,1.334829963094165,0.7680361720704489,Under
tristan da silva,Assists,1.5,0.8119340171832201,0.5441243294844504,Over
tristan da silva,Rebounds,3.5,0.8049207401173595,0.5675851384016855,Over
elfrid payton,Points,8.5,0.6950256167764732,0.5650085389254911,Under
elfrid payton,Pts + Rebs + Asts,17.5,1.8400219474339952,0.9466739824779984,Under
elfrid payton,Assists,4.5,0.5762158910416373,0.5151032323665481,Over
elfrid payton,Rebounds,4.5,1.0167335222296239,0.6722445074098746,Under
tyrese haliburton,Points,22.5,1.1052565039524573,0.7017521679841524,Under
tyrese haliburton,Pts + Rebs + Asts,35.5,1.9887862452642575,0.9962620817547525,Under
tyrese haliburton,1Q Points,7.5,1.5753534130199454,0.89421993507637,Over
tyrese haliburton,Assists,8.5,0.6862251769697212,0.5620750589899071,Over
alex sarr,Points,9.5,0.979720068069927,0.6599066893566423,Over
alex sarr,Assists,1.5,0.9941917740209691,0.6782965217758399,Over
