Player,Stat Type,Prop Team,Home vs. Away,Expected Value,Prop Line,Probability Over,Probability Under,Max Probability
Nic Claxton,points,PHI,1,10.098889463970902,11.5,0.269316251036932,0.730683748963068,0.730683748963068
Jalen Duren,rebounds,ATL,1,10.169879448229029,11.5,0.2708570803234911,0.7291429196765089,0.7291429196765089
Sam Hauser,points,NYK,0,6.412369810434255,5.5,0.7257829259331305,0.2742170740668694,0.7257829259331305
Franz Wagner,points,WAS,0,22.389683310411748,25.5,0.2744865495009895,0.7255134504990105,0.7255134504990105
Dillon Brooks,rebounds,UTA,1,3.1320471957893106,3.5,0.27474382202832426,0.7252561779716757,0.7252561779716757
Derrick White,rebounds,NYK,0,3.1277680144862057,3.5,0.2776129977519506,0.7223870022480494,0.7223870022480494
Devin Vassell,rebounds,NOP,1,2.85129334275424,3.5,0.28116084666232255,0.7188391533376775,0.7188391533376775
OG Anunoby,rebounds,BOS,1,4.005114735648426,4.5,0.2822170755485399,0.7177829244514601,0.7177829244514601
Russell Westbrook,rebounds,LAL,0,4.611971248302984,3.5,0.7161508843102504,0.2838491156897495,0.7161508843102504
OG Anunoby,points,BOS,1,15.590442566608614,13.5,0.7154779019858879,0.28452209801411205,0.7154779019858879
Bub Carrington,rebounds,ORL,1,3.8237935199265918,4.5,0.28763343196489777,0.7123665680351022,0.7123665680351022
Gabe Vincent,rebounds,DEN,1,0.5065897958173352,0.5,0.2895310338883186,0.7104689661116814,0.7104689661116814
Walker Kessler,points,HOU,0,9.78405314997625,11.5,0.2929351866789931,0.7070648133210069,0.7070648133210069
Trendon Watford,points,PHI,1,9.623296694055279,11.5,0.2940083172941983,0.7059916827058017,0.7059916827058017
Nic Claxton,rebounds,PHI,1,6.9827930319611395,7.5,0.29571847084619174,0.7042815291538083,0.7042815291538083
Jalen Wilson,rebounds,PHI,1,3.284393482128856,3.5,0.2962722651169314,0.7037277348830686,0.7037277348830686
Ausar Thompson,assists,ATL,1,1.8373068561771682,2.5,0.29652512616369364,0.7034748738363064,0.7034748738363064
Keyonte George,assists,HOU,0,5.04370664666843,5.5,0.29681521764429397,0.703184782355706,0.703184782355706
Jaxson Hayes,rebounds,DEN,1,3.411986041773254,4.5,0.2968467426202124,0.7031532573797876,0.7031532573797876
Jimmy Butler,points,DAL,0,18.19119249307428,20.5,0.2973615086586875,0.7026384913413125,0.7026384913413125
Bub Carrington,points,ORL,1,8.585377455327773,10.5,0.2985043562720566,0.7014956437279434,0.7014956437279434
Anfernee Simons,points,CHA,0,17.860839124503954,20.5,0.2997989092559167,0.7002010907440833,0.7002010907440833
John Collins,assists,HOU,0,1.3951937137595947,1.5,0.3025769928030273,0.6974230071969727,0.6974230071969727
Jalen Duren,assists,ATL,1,2.385191967666781,2.5,0.30421977092451646,0.6957802290754835,0.6957802290754835
Draymond Green,points,DAL,0,8.24947223883095,9.5,0.30827223091141864,0.6917277690885814,0.6917277690885814
CJ McCollum,points,SAS,0,20.78611024577637,20.5,0.6885272809389126,0.3114727190610874,0.6885272809389126
Alex Sarr,points,ORL,1,11.35028711133812,12.5,0.311953372554436,0.688046627445564,0.688046627445564
Cade Cunningham,assists,ATL,1,8.8590918405406,9.5,0.3124478770531076,0.6875521229468924,0.6875521229468924
Precious Achiuwa,assists,BOS,1,0.5415673679621263,0.5,0.3131275533305755,0.6868724466694245,0.6868724466694245
Miles Bridges,points,POR,1,19.632180867314172,21.5,0.3151832922439076,0.6848167077560924,0.6848167077560924
Shaedon Sharpe,rebounds,CHA,0,3.5439129324793472,3.5,0.31935035326847805,0.680649646731522,0.680649646731522
Tyrese Maxey,assists,BKN,0,5.939266436079077,6.5,0.3235625788942862,0.6764374211057138,0.6764374211057138
Jerami Grant,points,CHA,0,12.808433664716064,14.5,0.3275201062756935,0.6724798937243065,0.6724798937243065
DeAndre Jordan,assists,LAL,0,0.2909323014954473,0.5,0.327620983626583,0.672379016373417,0.672379016373417
Trendon Watford,rebounds,PHI,1,3.0912132356059057,3.5,0.32950403011011165,0.6704959698898884,0.6704959698898884
Keon Johnson,rebounds,PHI,1,3.225750386905992,3.5,0.32981654024829943,0.6701834597517006,0.6701834597517006
Josh Hart,points,BOS,1,15.214106320557812,13.5,0.669962828377654,0.3300371716223461,0.669962828377654
Derrick White,points,NYK,0,14.769753698403541,13.5,0.6686188695232296,0.3313811304767704,0.6686188695232296
Miles Bridges,assists,POR,1,3.488213676962442,3.5,0.3361002022527029,0.6638997977472971,0.6638997977472971
Joel Embiid,assists,BKN,0,4.173659114999445,4.5,0.3364468901108141,0.6635531098891859,0.6635531098891859
John Collins,points,HOU,0,17.547458054471885,18.5,0.33731697011517126,0.6626830298848287,0.6626830298848287
Payton Pritchard,rebounds,NYK,0,3.5380316030634393,2.5,0.6619873577012205,0.3380126422987794,0.6619873577012205
Jerami Grant,assists,CHA,0,1.5755107538196447,1.5,0.3418861282761939,0.6581138717238061,0.6581138717238061
Zion Williamson,rebounds,SAS,0,6.028686366532169,6.5,0.3420551090081866,0.6579448909918134,0.6579448909918134
Russell Westbrook,points,LAL,0,12.604478067277354,11.5,0.6579442471292485,0.3420557528707516,0.6579442471292485
Jalen Brunson,assists,BOS,1,7.27329938051843,7.5,0.34318055557153604,0.656819444428464,0.656819444428464
Jamal Murray,assists,LAL,0,5.502585337261681,5.5,0.34365882778977497,0.656341172210225,0.656341172210225
Kyshawn George,points,ORL,1,7.531323337938128,9.5,0.346148732028949,0.653851267971051,0.653851267971051
Sam Hauser,rebounds,NYK,0,2.449541287236124,2.5,0.348188368316656,0.651811631683344,0.651811631683344
Al Horford,points,NYK,0,6.065162393417804,5.5,0.6507062691653329,0.349293730834667,0.6507062691653329
Moses Moody,assists,DAL,0,0.36576678882991953,1.5,0.6485602220880531,0.3514397779119469,0.6485602220880531
