Player,Current Team,Opponent Team,Home Team,Away Team,Stat Type,Prop Line,Probability,Bet
Kentavious Caldwell-Pope,ORL,GSW,GSW,ORL,points,7.5,0.7051652038111171,over
Naz Reid,MIN,LAL,MIN,LAL,pts_rebs_asts,33.5,0.6991547778101264,under
Kevon Looney,GSW,ORL,GSW,ORL,assists,1.5,0.6980446214881895,over
Taurean Prince,MIL,DEN,DEN,MIL,pts_rebs_asts,12.5,0.692619018202476,over
Grayson Allen,PHX,NOP,NOP,PHX,pts_rebs_asts,15.5,0.6922004141044695,over
Bol Bol,PHX,NOP,NOP,PHX,assists,0.5,0.681500804461586,under
Brandin Podziemski,GSW,ORL,GSW,ORL,pts_rebs_asts,22.5,0.6814038262693279,under
Kessler Edwards,DAL,CHA,CHA,DAL,assists,1.5,0.6806424920859033,under
AJ Green,MIL,DEN,DEN,MIL,rebounds,2.5,0.6805268578019454,over
Jaxson Hayes,LAL,MIN,MIN,LAL,points,6.5,0.6751629521764598,under
Austin Reaves,LAL,MIN,MIN,LAL,points,18.5,0.6697311655056097,over
LaMelo Ball,CHA,DAL,CHA,DAL,pts_rebs_asts,34.5,0.669572991613913,over
LeBron James,LAL,MIN,MIN,LAL,rebounds,7.5,0.6677196720515287,over
Christian Braun,DEN,MIL,DEN,MIL,pts_rebs_asts,21.5,0.6675773935888015,over
Donte DiVincenzo,MIN,LAL,MIN,LAL,pts_rebs_asts,17.5,0.661492815153879,over
Wendell Carter Jr.,ORL,GSW,GSW,ORL,pts_rebs_asts,18.5,0.6526753359826281,under
Naji Marshall,DAL,CHA,CHA,DAL,assists,2.5,0.6343659722553758,over
Stephen Curry,GSW,ORL,GSW,ORL,rebounds,4.5,0.6334598777409253,over
Gui Santos,GSW,ORL,GSW,ORL,points,4.5,0.6331849453433761,under
Dorian Finney-Smith,LAL,MIN,MIN,LAL,assists,0.5,0.6296783793874576,over
Yves Missi,NOP,PHX,NOP,PHX,assists,0.5,0.6213114297058784,over
Zion Williamson,NOP,PHX,NOP,PHX,points,23.5,0.6198427292190363,under
Gabe Vincent,LAL,MIN,MIN,LAL,points,5.5,0.612795951104554,over
Aaron Gordon,DEN,MIL,DEN,MIL,points,13.5,0.6086432498881054,over
Zion Williamson,NOP,PHX,NOP,PHX,pts_rebs_asts,35.5,0.6083576254674705,under
Gary Payton II,GSW,ORL,GSW,ORL,rebounds,1.5,0.6053683584074093,over
Brandin Podziemski,GSW,ORL,GSW,ORL,points,12.5,0.5958680696301994,under
Quinten Post,GSW,ORL,GSW,ORL,rebounds,2.5,0.5864607816368566,over
Kyle Kuzma,MIL,DEN,DEN,MIL,pts_rebs_asts,25.5,0.5862751558322297,over
Michael Porter Jr.,DEN,MIL,DEN,MIL,pts_rebs_asts,25.5,0.585020088528766,over
