Player,Stat Type,EV_over,EV_under
Trae Young,Assists,-0.999822944009793,1.999822959107405
Trae Young,Rebounds,-0.9999711682576162,1.9999711896070949
Karl-Anthony Towns,Points,-0.9999656385516573,1.9999656531381333
Karl-Anthony Towns,Pts + Rebs + Asts,-0.9999779563268021,1.99997798110644
Karl-Anthony Towns,Rebounds,-0.9999113202720764,1.9999113142803253
Karl-Anthony Towns,1Q Points,-0.9998650240813731,1.9998650097804784
Mikal Bridges,Points,-0.9999763486030133,1.9999763725818411
Mikal Bridges,Pts + Rebs + Asts,-0.9999220912322926,1.9999220641784632
Mikal Bridges,1Q Points,-0.9999291811764124,1.9999291854292096
Mikal Bridges,Assists,-0.9999866095240577,1.9999865992394916
Josh Hart,Points,-0.999908479883743,1.999908463574684
Josh Hart,Pts + Rebs + Asts,-0.9999936173021524,1.9999935900002583
Josh Hart,Assists,-0.9999088559161464,1.99990883040482
Josh Hart,1Q Pts + Rebs + Asts,-0.9998625046646339,1.9998624983745685
Dyson Daniels,Points,-0.9999862304257476,1.9999862308764023
Dyson Daniels,Pts + Rebs + Asts,-0.9999589070503134,1.9999588899227092
Dyson Daniels,Assists,-0.999956061341436,1.9999560365567959
Dyson Daniels,1Q Points,-0.9998182893832563,1.9998183072129905
Jalen Brunson,Points,-0.9999962467338719,1.9999962458206255
Jalen Brunson,Pts + Rebs + Asts,-0.9999356303815148,1.9999356286825787
Jalen Brunson,Assists,-0.9996758473425871,1.9996758288398269
Jalen Brunson,1Q Points,-0.999941652698908,1.9999416796781588
OG Anunoby,Points,-0.9999536533650826,1.999953670278046
OG Anunoby,Pts + Rebs + Asts,-0.9999956766710056,1.999995692568291
OG Anunoby,Assists,-0.9999955059638523,1.999995517807747
OG Anunoby,Rebounds,-0.9999942723929962,1.9999942751735489
Zaccharie Risacher,Points,-0.9999080624984344,1.9999080760680954
Zaccharie Risacher,Pts + Rebs + Asts,-0.9999846508426344,1.9999846364221412
Zaccharie Risacher,Assists,-0.9999980853307306,1.9999980591887265
Zaccharie Risacher,1Q Points,-0.9999665247651137,1.9999665432796974
Onyeka Okongwu,Points,-0.9999601467297907,1.999960135611218
Onyeka Okongwu,Pts + Rebs + Asts,-0.9998852320495644,1.9998852167518635
Onyeka Okongwu,Rebounds,-0.999999261574942,1.9999992731596024
Onyeka Okongwu,1Q Points,-0.9999522066973441,1.9999522316884395
Precious Achiuwa,Points,-0.9999742731924925,1.9999742619929748
Precious Achiuwa,Pts + Rebs + Asts,-0.999944963856251,1.9999449445822393
Precious Achiuwa,Assists,-0.9998740600203746,1.9998740875053045
Precious Achiuwa,Rebounds,-0.9999465723485628,1.9999465534910996
Donovan Mitchell,Points,-0.999955960742227,1.9999559862571914
Donovan Mitchell,Pts + Rebs + Asts,-0.9999676134666515,1.9999676240722692
Donovan Mitchell,1Q Pts + Rebs + Asts,-0.9999665064005967,1.9999665340974389
Donovan Mitchell,Rebounds,-0.9999608799516864,1.9999608598500345
Darius Garland,Points,-0.9998226609022822,1.9998226387397153
Darius Garland,Pts + Rebs + Asts,-0.9999837401401237,1.99998373403605
Darius Garland,1Q Points,-0.999841578413907,1.999841574634047
Darius Garland,1Q Pts + Rebs + Asts,-0.9999821163346496,1.9999821174706085
Immanuel Quickley,Points,-0.9999866461384954,1.9999866175467105
Immanuel Quickley,Pts + Rebs + Asts,-0.9999951478321236,1.9999951599279484
Immanuel Quickley,1Q Points,-0.9999003755656304,1.9999003881021054
Immanuel Quickley,Assists,-0.9999370253026427,1.99993704139888
Gradey Dick,Points,-0.9999967625649333,1.9999967719570577
Gradey Dick,Pts + Rebs + Asts,-0.9999355925501732,1.9999356097669079
Gradey Dick,1Q Points,-0.999950679273752,1.999950663313939
Gradey Dick,Assists,-0.9999605320899718,1.9999605071052429
Max Strus,Points,-0.9998208286706358,1.9998208285542205
Max Strus,Pts + Rebs + Asts,-0.9999892995806476,1.999989285372294
Max Strus,Rebounds,-0.9999997654594068,1.9999997933227363
Max Strus,1Q Points,-0.9998923669554642,1.9998923604835
Scottie Barnes,Points,-0.9999093899532454,1.999909365644271
Scottie Barnes,Pts + Rebs + Asts,-0.9999991383522797,1.999999122141304
Scottie Barnes,Assists,-0.9999982265859444,1.9999982192233006
Scottie Barnes,1Q Points,-0.9999959109386509,1.9999958991090807
RJ Barrett,Points,-0.9997972611017758,1.999797243050125
RJ Barrett,Pts + Rebs + Asts,-0.9999635357471561,1.9999635288522768
RJ Barrett,Assists,-0.9999914358868409,1.9999914264089966
RJ Barrett,Rebounds,-0.9999978189471221,1.9999978365899551
Evan Mobley,Points,-0.9999988010960692,1.9999987746992645
Evan Mobley,Pts + Rebs + Asts,-0.9999998253445881,1.9999998232653269
Evan Mobley,1Q Pts + Rebs + Asts,-0.999963737989674,1.9999637193805029
Evan Mobley,1Q Points,-0.9999951245388274,1.9999951482813003
Jarrett Allen,Points,-0.999952051181026,1.9999520645233133
Jarrett Allen,Pts + Rebs + Asts,-0.999868405117013,1.9998683990306745
Jarrett Allen,Rebounds,-0.9999622927080054,1.9999622814839313
Jarrett Allen,1Q Pts + Rebs + Asts,-0.9999932176501716,1.9999932113603336
Jonathan Mogbo,Points,-0.9998156943911454,1.9998156686124275
Jonathan Mogbo,Pts + Rebs + Asts,-0.9999717897171649,1.9999717685577707
Jonathan Mogbo,Rebounds,-0.9998455154709518,1.999845510115847
Jonathan Mogbo,1Q Points,-0.9999013498163549,1.9999013222623034
Paul George,Points,-0.9999593742631987,1.9999593917500533
Paul George,Pts + Rebs + Asts,-0.9999636492066202,1.999963674988976
Paul George,1Q Pts + Rebs + Asts,-0.9999985326459182,1.9999985510672218
Paul George,Assists,-0.9999781825335958,1.999978183616804
Tyrese Maxey,Points,-0.9999379431319539,1.9999379473483714
Tyrese Maxey,Pts + Rebs + Asts,-0.999999878589307,1.9999998498876863
Tyrese Maxey,Assists,-0.9997649828146677,1.9997650106524816
Tyrese Maxey,1Q Points,-0.9999969919654177,1.999996976064267
Cam Johnson,Points,-0.9999785070531289,1.9999785246905049
Cam Johnson,Pts + Rebs + Asts,-0.9999906696793914,1.9999906856774032
Cam Johnson,Assists,-0.9998149394232314,1.999814933500602
Cam Johnson,Rebounds,-0.9999580133826385,1.999957996054036
Guerschon Yabusele,Points,-0.9999729937116717,1.9399738857812554
Guerschon Yabusele,Pts + Rebs + Asts,-0.9999962148491705,1.9399963298179046
Guerschon Yabusele,Rebounds,-0.9999989600030006,1.9399989717072628
Guerschon Yabusele,Assists,-0.9999655388065366,1.9399666883990356
Kelly Oubre,Points,-0.9999996975526662,1.9399996789114076
Kelly Oubre,Pts + Rebs + Asts,-0.999978768849196,1.9399794820125498
Kelly Oubre,Rebounds,-0.9999924242922589,1.9399926569857688
Kelly Oubre,1Q Points,-0.9999742693938242,1.939975116020978
Keon Johnson,Points,-0.9997944657003973,1.9398012532282154
Keon Johnson,Pts + Rebs + Asts,-0.9999817553810317,1.9399823286395075
Keon Johnson,Assists,-0.9999947238980575,1.9399949076391338
Keon Johnson,Rebounds,-0.9999956176717478,1.9399957778387307
Nic Claxton,Points,-0.9999451463038713,1.9399469271738052
Nic Claxton,Pts + Rebs + Asts,-0.9997856418669108,1.9397926934823044
Nic Claxton,Rebounds,-0.999860317845887,1.9398649023540202
Nic Claxton,Assists,-0.9999969019245464,1.9399970122797503
D'Angelo Russell,Points,-0.9999833004998618,1.9399838637861284
D'Angelo Russell,Pts + Rebs + Asts,-0.99998102870999,1.9399816267680217
D'Angelo Russell,Rebounds,-0.9999873319903599,1.939987741138011
